	Barcodes
A?0383.00 , CV. Plainsman Amaranth	A?0383.00
Cq0068.00 , PI 510541	Cq0068.00
Cq0069.00 , PI 510542	Cq0069.00
Cq0070.00 , PI 510544	Cq0070.00
Cq0071.00 , PI 510545	Cq0071.00
Cq0072.00 , PI 510547	Cq0072.00
Cq0073.00 , PI 510548	Cq0073.00
Cq0074.00 , PI 510549	Cq0074.00
Cq0075.00 , PI 510551	Cq0075.00
Cq0076.00 , PI 584524	Cq0076.00
Cq0077.00 , PI 596293	Cq0077.00
Cq0078.00 , PI 596498	Cq0078.00
Cq0079.00 , PI 614002	Cq0079.00
Cq0080.00 , PI 614880	Cq0080.00
Cq0081.00 , PI 614881	Cq0081.00
Cq0082.00 , PI 614882	Cq0082.00
Cq0083.00 , PI 614883	Cq0083.00
Cq0084.00 , PI 614885	Cq0084.00
Cq0085.00 , PI 614886	Cq0085.00
Cq0086.00 , PI 614887	Cq0086.00
Cq0087.00 , PI 614888	Cq0087.00
Cq0088.00 , PI 614889	Cq0088.00
Cq0089.00 , PI 614901	Cq0089.00
Cq0090.00 , PI 614902	Cq0090.00
Cq0091.00 , PI 614903	Cq0091.00
Cq0092.00 , PI 614904	Cq0092.00
Cq0093.00 , PI 614905	Cq0093.00
Cq0094.00 , PI 614906	Cq0094.00
Cq0095.00 , PI 614907	Cq0095.00
Cq0096.00 , PI 614909	Cq0096.00
Cq0097.00 , PI 614910	Cq0097.00
Cq0098.00 , PI 614911	Cq0098.00
Cq0099.00 , PI 614912	Cq0099.00
Cq0100.00 , PI 614913	Cq0100.00
Cq0101.00 , PI 614914	Cq0101.00
Cq0102.00 , PI 614915	Cq0102.00
Cq0103.00 , PI 614916	Cq0103.00
Cq0104.00 , PI 614917	Cq0104.00
Cq0105.00 , PI 614918	Cq0105.00
Cq0106.00 , PI 614919	Cq0106.00
Cq0107.00 , PI 614921	Cq0107.00
Cq0108.00 , PI 614922	Cq0108.00
Cq0109.00 , PI 614923	Cq0109.00
Cq0110.00 , PI 614924	Cq0110.00
Cq0111.00 , PI 614925	Cq0111.00
Cq0112.00 , PI 614927	Cq0112.00
Cq0113.00 , PI 614928	Cq0113.00
Cq0114.00 , PI 614930	Cq0114.00
Cq0115.00 , PI 614931	Cq0115.00
Cq0116.00 , PI 614932	Cq0116.00
Cq0117.00 , PI 614933	Cq0117.00
Cq0118.00 , PI 614935	Cq0118.00
Cq0119.00 , PI 614936	Cq0119.00
Cq0120.00 , PI 614938	Cq0120.00
Cq0121.00 , PI 634917	Cq0121.00
Cq0122.00 , PI 634918	Cq0122.00
Cq0123.00 , PI 634919	Cq0123.00
Cq0124.00 , PI 634920	Cq0124.00
Cq0125.00 , PI 634921	Cq0125.00
Cq0126.00 , PI 634922	Cq0126.00
Cq0127.00 , PI 634924	Cq0127.00
Cq0128.00 , PI 634925	Cq0128.00
Cq0129.00 , PI 643079	Cq0129.00
Cq0130.00 , PI 665272	Cq0130.00
Cq0131.00 , PI 665273	Cq0131.00
Cq0132.00 , PI 665274	Cq0132.00
Cq0133.00 , PI 665275	Cq0133.00
Cq0134.00 , PI 665276	Cq0134.00
Cq0135.00 , PI 665277	Cq0135.00
Cq0136.00 , PI 665278	Cq0136.00
Cq0137.00 , PI 665283	Cq0137.00
Cq0138.00 , CHEN 5	Cq0138.00
Cq0139.00 , CHEN 7	Cq0139.00
Cq0140.00 , CHEN 33	Cq0140.00
Cq0141.00 , CHEN 58	Cq0141.00
Cq0142.00 , CHEN 64	Cq0142.00
Cq0143.00 , CHEN 65	Cq0143.00
Cq0144.00 , CHEN 66	Cq0144.00
Cq0145.00 , CHEN 67	Cq0145.00
Cq0146.00 , CHEN 68	Cq0146.00
Cq0147.00 , CHEN 69	Cq0147.00
Cq0148.00 , CHEN 70	Cq0148.00
Cq0149.00 , CHEN 71	Cq0149.00
Cq0150.00 , CHEN 83	Cq0150.00
Cq0151.00 , CHEN 84	Cq0151.00
Cq0152.00 , CHEN 89	Cq0152.00
Cq0153.00 , CHEN 90	Cq0153.00
Cq0154.00 , CHEN 91	Cq0154.00
Cq0155.00 , CHEN 92	Cq0155.00
Cq0156.00 , CHEN 104	Cq0156.00
Cq0157.00 , CHEN 109	Cq0157.00
Cq0158.00 , CHEN 110	Cq0158.00
Cq0159.00 , CHEN 112	Cq0159.00
Cq0160.00 , CHEN 114	Cq0160.00
Cq0161.00 , CHEN 115	Cq0161.00
Cq0162.00 , CHEN 117	Cq0162.00
Cq0163.00 , CHEN 119	Cq0163.00
Cq0164.00 , CHEN 121	Cq0164.00
Cq0165.00 , CHEN 122	Cq0165.00
Cq0166.00 , CHEN 123	Cq0166.00
Cq0167.00 , CHEN 124	Cq0167.00
Cq0168.00 , CHEN 125	Cq0168.00
Cq0169.00 , CHEN 126	Cq0169.00
Cq0170.00 , CHEN 127	Cq0170.00
Cq0171.00 , CHEN 128	Cq0171.00
Cq0172.00 , CHEN 129	Cq0172.00
Cq0173.00 , CHEN 130	Cq0173.00
Cq0174.00 , CHEN 131	Cq0174.00
Cq0175.00 , CHEN 132	Cq0175.00
Cq0176.00 , CHEN 133	Cq0176.00
Cq0177.00 , CHEN 134	Cq0177.00
Cq0178.00 , CHEN 135	Cq0178.00
Cq0179.00 , CHEN 136	Cq0179.00
Cq0180.00 , CHEN 137	Cq0180.00
Cq0181.00 , CHEN 138	Cq0181.00
Cq0182.00 , CHEN 139	Cq0182.00
Cq0183.00 , CHEN 140	Cq0183.00
Cq0184.00 , CHEN 141	Cq0184.00
Cq0185.00 , CHEN 142	Cq0185.00
Cq0186.00 , CHEN 143	Cq0186.00
